cve_mun_full,num_dispositivos_home_00_08,num_dispositivos_home_00_05,num_dispositivos_home_primero
02004,26353,24502,45116
19039,22367,20084,43659
09007,17311,15121,28897
09005,16578,13705,36996
21114,16493,14484,30684
14120,14787,13324,24939
02002,13985,13225,21136
08037,13087,11483,26650
15033,12877,11155,24261
09014,12209,10646,26852
14039,11822,10572,22637
09010,11693,10497,18670
09003,11171,9943,18279
22014,11028,9876,19052
15057,10874,9543,18314
28032,10659,9416,17656
09012,10177,9083,15644
23005,10030,8811,15509
09016,9251,8044,17679
11020,9001,7893,19079
15058,8938,7877,15442
09015,8760,7585,19909
15106,8212,6960,16811
24028,8203,7358,14892
31050,8153,7209,14565
15104,8118,7026,14506
08019,7982,7374,14196
15013,7444,6662,12252
26030,7214,6557,18361
19026,7089,6543,10822
19006,6995,6332,13375
05030,6844,6129,11568
09017,6410,5468,13394
15121,6239,5375,11236
19046,6135,5593,10267
16053,5911,5245,11895
09002,5867,5126,10225
19019,5752,5355,8805
01001,5618,4873,10845
05035,5584,5081,9242
25006,5548,5110,11526
17007,5546,4896,10038
28027,5381,4831,9323
15037,5250,4756,7963
09006,5147,4556,9265
28022,4912,4246,9460
13048,4779,4133,7901
14098,4550,3991,8376
27004,4464,3806,8337
09013,4389,3916,6852
09004,4353,3927,6929
14097,4332,3808,7661
15109,4167,3558,8058
23008,4155,3598,6467
30087,4078,3618,7077
30193,4072,3655,7364
02001,4065,3766,6954
03008,4010,3742,6349
15081,3954,3442,6531
19021,3836,3474,6031
12001,3796,3324,6667
09008,3701,3135,8592
19048,3639,3320,5903
07101,3568,3039,7807
11007,3510,3069,6860
15054,3419,3039,5621
19031,3403,2800,8980
25012,3303,3066,6028
09011,3278,2829,5685
10005,3263,2897,7073
15039,3249,2809,6009
28041,3049,2722,5819
14101,3009,2674,5463
28038,3007,2757,4674
15031,3002,2608,6093
15020,2990,2572,5661
21119,2975,2743,4174
14067,2963,2659,5121
11017,2669,2328,5937
22006,2566,2319,3828
18017,2500,2288,5648
13051,2453,2181,3602
26018,2447,2274,5489
15060,2413,2011,4243
19018,2299,2115,3761
03003,2183,1952,4340
28009,2042,1849,3066
15025,2004,1678,3741
20067,1992,1716,4068
24035,1960,1758,3307
30039,1932,1691,3337
17011,1922,1716,3653
16102,1902,1674,3848
15099,1902,1587,3879
15122,1762,1503,3535
05018,1748,1624,3019
22011,1743,1526,3046
30028,1743,1615,2716
25001,1736,1582,3183
22016,1647,1424,3063
15024,1637,1354,3117
05025,1598,1400,3160
15070,1546,1350,2849
21156,1513,1300,2695
12029,1507,1321,3036
21140,1492,1343,2432
04003,1482,1304,2907
26055,1476,1377,3107
30131,1450,1296,2334
02005,1441,1340,2229
04002,1423,1233,2932
26043,1418,1281,3733
10007,1410,1265,2620
28003,1374,1177,2951
11027,1360,1203,2653
17006,1276,1138,2479
15108,1271,1110,2175
23004,1264,1059,2227
08017,1235,1140,2184
32017,1232,1067,2333
30044,1203,1043,2183
02003,1199,1108,2246
06007,1168,1028,2062
13077,1159,982,2084
06002,1157,1041,2369
18020,1152,1019,2328
28033,1149,1012,2148
32056,1131,981,2346
21041,1125,976,1939
15051,1116,909,2057
15029,1113,986,1946
07089,1072,896,2317
08021,1064,937,2739
11015,1056,932,2295
15120,1054,867,2035
30118,1050,904,2215
06010,1008,906,1889
15118,991,849,1660
11003,935,797,2028
30189,932,782,1721
19049,893,824,1205
26029,883,816,2030
16108,862,748,1796
29033,859,769,2001
21019,858,708,1651
05027,852,735,1517
23001,836,715,1413
26048,836,796,1583
32010,827,690,1671
14070,827,713,1668
19009,812,741,1366
05002,810,686,1583
17008,787,713,1202
16052,778,664,1618
21132,766,640,1322
17018,762,639,1574
07078,760,647,1692
09009,757,649,1347
15002,755,627,1385
