cve_mun_full,num_dispositivos
02004,36232
19039,25307
09007,24415
21114,23017
08037,20652
02002,19685
14039,19189
14120,18796
15033,18774
09005,16828
11020,16709
15058,14365
22014,14255
15057,13169
09010,13065
28032,12291
23005,11774
08019,11755
31050,11624
09012,11342
24028,11145
09003,11136
19026,11111
09014,10706
09015,10638
05030,10594
19006,10300
15104,9594
15106,9535
26030,9396
01001,9161
05035,9039
16053,8917
15013,8890
09016,8450
25006,8269
19046,8008
12001,7681
17007,7432
09017,7339
14098,7303
14097,7245
15121,7230
02001,6920
09002,6656
28027,6524
28022,6502
19021,6488
30193,6472
09006,6454
15031,6034
15109,5875
09013,5831
19019,5753
30087,5709
27004,5620
14101,5568
15081,5456
19031,5383
03008,5205
23008,5127
19048,5122
15039,5121
13048,5049
10005,5030
09011,4963
25012,4888
19018,4863
15037,4721
11007,4581
07101,4433
28038,4295
09004,4184
14067,4031
15122,3948
11017,3912
09008,3885
28041,3829
15020,3771
15054,3702
26018,3464
15025,3388
24035,3307
15060,3286
21119,3242
25001,3222
18017,3189
17011,3055
03003,3021
22006,3017
13051,2948
28009,2904
05018,2795
10007,2757
20067,2749
30028,2563
15070,2554
30039,2524
16102,2458
15099,2418
05025,2413
21156,2398
28003,2390
22011,2375
04002,2336
22016,2292
26043,2284
26055,2270
17006,2140
12029,2108
15024,2092
11027,1999
30131,1978
30044,1910
02005,1897
15108,1881
04003,1806
02003,1798
26048,1781
08017,1773
15029,1752
32056,1727
21140,1720
32017,1707
11003,1674
06007,1668
32010,1653
18020,1650
23004,1649
13077,1631
26029,1622
15110,1606
06002,1574
11015,1573
30118,1549
15120,1535
07089,1473
21041,1449
17008,1447
28033,1430
19041,1416
14070,1388
15051,1379
17029,1331
30189,1322
08021,1318
06010,1308
16108,1278
19009,1255
15118,1255
25011,1229
15002,1206
21019,1183
14093,1176
05027,1172
17018,1162
26042,1145
09009,1141
11037,1125
21132,1122
07078,1106
30108,1096
13069,1092
16052,1087
19025,1081
29033,1081
12035,1067
23001,1053
19049,1050
10012,1035
14053,1019
08032,1016
12038,1004
24013,973
17028,953
19033,945
01005,943
15076,941
13076,912
14023,909
26017,903
14063,878
31041,867
24020,859
21015,824
19010,821
19038,813
29005,813
15035,794
19045,789
27002,784
05028,769
26002,766
30105,755
23009,752
30011,749
05002,748
16088,735
11031,735
20184,734
20385,727
14083,726
27005,726
30124,723
23011,713
05010,708
15095,703
27013,702
16112,697
11014,697
