cve_mun_full,num_dispositivos
02004,88040
09007,83693
21114,76351
14039,68444
15033,67633
08037,64906
11020,62951
19039,57569
09005,55434
14120,55061
15058,52373
22014,46529
02002,38698
15057,38663
31050,38251
09010,37241
23005,36396
08019,35373
24028,34777
28032,34523
15106,34266
05030,33983
16053,33600
09012,31986
19026,31936
09015,31838
01001,31084
19006,30712
26030,30001
15104,29950
09003,29428
14097,28901
14098,27647
05035,27484
25006,26241
15013,25743
15031,24603
09014,24071
14101,23431
09016,23183
28022,22643
30193,22636
09017,22455
27004,22449
15121,22424
12001,22332
15109,21334
09006,20618
19046,20554
19031,20241
15039,19925
09002,19847
17007,19500
19021,19170
15081,18685
02001,18685
09013,18059
30087,17310
28027,16930
19018,16325
11007,16253
10005,16098
09011,15573
13048,15482
23008,14930
07101,14491
15122,14427
11017,14359
28041,14246
19048,14209
15025,13595
03008,13208
28038,12714
15020,12316
24035,11898
25012,11758
15037,11659
14067,11252
09008,10932
15060,10916
15054,10873
09004,10751
10007,10442
26018,10328
15070,10121
19019,10079
25001,9936
18017,9895
13051,9776
17011,9694
28003,9440
20067,9235
05018,8919
04002,8895
22006,8736
03003,8575
22011,8433
30039,8363
21156,8331
28009,8291
15099,8285
22016,8248
32010,8214
12029,8212
16102,7768
23004,7766
05025,7634
30044,7616
15024,7553
17006,7174
26043,7031
30028,6742
15029,6687
21119,6573
07089,6558
13077,6322
04003,6314
11027,6176
15051,6135
19041,6002
08017,5897
32056,5864
14093,5827
26055,5809
15108,5709
14070,5682
11037,5550
32017,5496
15120,5312
30131,5309
18020,5301
25011,5250
28033,5193
26048,5086
30189,5030
06007,4979
15002,4946
16052,4938
26029,4903
21140,4839
11003,4807
30118,4767
15118,4718
05027,4691
27002,4655
11015,4654
19025,4609
17018,4594
21041,4488
08021,4434
13069,4420
16108,4356
14053,4303
17008,4299
21132,4225
30108,4208
02003,4164
06002,4162
26017,4128
27013,4085
26042,4078
29033,4067
21019,4025
07078,4024
08032,3974
09009,3950
10012,3881
31041,3863
27008,3772
02005,3737
15110,3653
12035,3587
17029,3578
11042,3541
15076,3505
19009,3479
27005,3472
23001,3452
19010,3451
06010,3448
14063,3355
14023,3352
15042,3352
14083,3320
30124,3285
11031,3267
24024,3237
11005,3224
29005,3215
13076,3199
16088,3191
11014,3189
24013,3180
19033,3091
20385,3062
05010,3040
15005,3037
01005,3035
24020,3031
30048,3028
19045,3006
20184,2976
15035,2940
12038,2936
21015,2926
07019,2792
27012,2709
08050,2701
30105,2676
16006,2603
14044,2575
29010,2572
19038,2550
17028,2549
13030,2541
14018,2532
05017,2497
16075,2496
05033,2492
30102,2467
15014,2465
14124,2460
16112,2445
30174,2404
16066,2397
25018,2381
15095,2378
23009,2369
21074,2356
27014,2347
31059,2347
14073,2341
11033,2333
31102,2310
05028,2298
11032,2275
15018,2271
23002,2268
26002,2245
19012,2245
27003,2234
14013,2234
16069,2230
13063,2226
06009,2222
21174,2199
14008,2197
21071,2186
27006,2182
22017,2180
15092,2171
15062,2170
15011,2144
11023,2135
19049,2130
11028,2117
30065,2117
07065,2112
16076,2104
05020,2097
31101,2082
28021,2078
29013,2077
22012,2064
15090,2063
16071,2050
11011,2049
30068,2040
13083,2027
15087,2024
16082,1979
15088,1969
01003,1953
30038,1947
07097,1944
11025,1942
22005,1909
15067,1892
32020,1889
13003,1880
11001,1879
11002,1875
01002,1863
13013,1847
15101,1845
07059,1844
05002,1829
15091,1827
30141,1818
14015,1817
12055,1812
23011,1809
15053,1805
15115,1797
14066,1782
15045,1779
17004,1778
14085,1774
18004,1769
20413,1746
16034,1729
11004,1713
05032,1712
01011,1711
21164,1684
25015,1684
10032,1683
30085,1676
04004,1667
11030,1663
13061,1661
11044,1659
07061,1656
13028,1646
30011,1641
07027,1634
13084,1630
20039,1623
14030,1622
15100,1620
14050,1596
16107,1592
16050,1590
11009,1587
20079,1576
15048,1570
21208,1563
30123,1561
30175,1539
17020,1538
08011,1518
21154,1510
15082,1509
32042,1504
11041,1502
20043,1496
11021,1488
29025,1486
27010,1481
14091,1481
23003,1447
20390,1443
30133,1438
13041,1437
22004,1436
20318,1435
14082,1414
15059,1413
14094,1410
28040,1409
23010,1400
17012,1396
30109,1392
11012,1387
15085,1384
30083,1380
21053,1370
03001,1360
07017,1353
15009,1353
03002,1352
13016,1350
19004,1348
08036,1348
26025,1346
07108,1329
12075,1319
21197,1317
15074,1315
11035,1311
13023,1307
30160,1300
18008,1289
07034,1289
04001,1289
27017,1287
31096,1284
18015,1277
26033,1275
21085,1264
29043,1258
16043,1258
01009,1257
13008,1257
14006,1252
24037,1251
29044,1245
19044,1241
12066,1239
30128,1237
08004,1226
25010,1216
13056,1210
13052,1209
32039,1208
13029,1201
30181,1196
30003,1194
11046,1189
04009,1183
12028,1177
01006,1176
29018,1173
14051,1165
32026,1162
11026,1159
14035,1154
15040,1152
08045,1148
30138,1148
30045,1148
30183,1146
07052,1144
05022,1141
16079,1134
05009,1132
21034,1131
21106,1126
27016,1126
01007,1124
30030,1108
30061,1105
17002,1103
10008,1093
14022,1088
13012,1085
14121,1076
32038,1075
17030,1069
24021,1045
13054,1039
21001,1039
15073,1035
10038,1029
15047,1028
13067,1022
17024,1021
07057,1015
30009,1014
24011,1013
15124,1009
08005,1009
21180,1001
30040,1000
14016,998
21045,996
15114,995
31089,989
20399,987
22007,984
32005,980
12011,978
14046,976
28025,976
14108,975
15019,974
30014,968
14118,961
14119,952
14078,946
23007,945
14105,944
22008,942
21010,940
28035,939
07099,933
07012,932
16010,931
29038,929
15023,927
26036,922
26019,920
16038,911
32024,910
27009,910
11008,909
20551,907
32036,907
14002,906
30016,894
11043,894
20059,888
30015,881
08052,871
16097,871
25017,869
15113,869
10023,868
15065,866
29036,864
29031,862
18012,853
30004,852
12057,850
07020,849
20515,846
21003,844
20401,842
26004,839
30191,838
13037,838
25013,837
30206,836
29006,833
05003,832
07051,830
05006,830
05004,829
31038,827
17003,825
16055,824
13081,823
13050,811
16012,811
16009,810
14009,807
15103,803
11029,802
10039,801
12050,799
11039,797
14033,795
30010,792
23006,791
16110,791
15001,790
27015,785
29023,785
25009,780
30115,779
14043,778
28012,774
15084,773
13010,772
05024,767
21186,766
14086,765
14116,762
21177,761
15075,760
07040,760
29041,757
15096,756
31079,755
15086,750
30155,750
30126,746
20002,745
32034,742
30144,741
11040,738
27001,735
17017,734
17031,734
07009,733
15072,731
21051,731
12058,730
20324,730
21207,725
11013,724
21115,718
30101,717
16045,716
30207,713
20057,712
29028,711
15043,711
12048,711
08048,709
28007,708
13082,708
21004,707
29015,704
13015,704
16106,703
06005,701
11019,700
32055,699
16073,699
16035,699
27007,698
25004,698
25002,698
30158,696
30071,694
16068,691
22003,687
21110,687
30058,686
20397,686
24050,684
31052,683
32051,680
21189,678
29024,677
13074,673
16020,672
20044,668
30021,667
13060,663
07069,662
30201,658
08002,657
04005,654
15036,653
31056,653
21047,653
07092,646
22001,641
10022,640
30026,640
21142,639
26041,639
16113,639
14024,636
20014,635
07074,635
16015,631
20073,630
20565,628
14064,626
13075,625
21083,624
07068,619
29034,618
14055,618
08062,618
15016,616
16083,615
32053,614
14049,614
29019,613
30204,613
30070,607
14047,607
24032,606
05031,605
30134,601
29039,601
30143,599
10001,598
12021,598
32040,598
10004,597
15093,595
30023,593
