municipio,num_dispositivos
19_039,47937
02_004,46722
09_005,35393
21_114,32768
09_007,30829
08_037,29549
14_120,27681
14_039,26887
15_033,24890
09_015,24307
11_020,22569
09_014,22473
02_002,22264
22_014,20590
28_032,18651
31_050,18649
26_030,18605
09_010,18377
09_003,18298
15_106,18137
15_057,18111
09_016,17799
08_019,17492
24_028,16881
23_005,16379
15_058,16378
09_012,16222
15_104,14871
19_006,14723
25_006,13919
16_053,13251
05_030,13199
01_001,12774
15_013,12403
19_026,11808
09_017,11760
15_121,11527
17_007,11343
19_046,11255
09_002,10601
28_022,10287
05_035,10166
28_027,9774
09_006,9735
14_098,9616
27_004,9395
07_101,9190
09_008,9179
14_097,8994
10_005,8407
30_193,8387
13_048,8351
15_109,7991
02_001,7965
12_001,7952
15_037,7830
11_007,7755
30_087,7747
09_013,7200
11_017,7154
15_081,7113
25_012,7027
09_004,6902
19_019,6874
03_008,6810
15_031,6723
19_021,6711
23_008,6673
19_048,6540
28_041,6520
14_101,6396
15_039,6335
09_011,6212
18_017,6081
26_018,6058
15_054,5787
19_031,5776
14_067,5608
15_020,5560
28_038,5353
20_067,4937
03_003,4845
15_060,4755
16_102,4434
15_099,4359
19_018,4227
26_043,4227
15_025,4184
26_055,4170
21_119,4149
22_006,4116
13_051,3931
17_011,3917
25_001,3884
30_039,3881
24_035,3743
15_122,3683
05_018,3559
12_029,3558
28_003,3468
04_003,3418
22_016,3406
05_025,3381
28_009,3376
04_002,3360
22_011,3287
11_027,3205
10_007,3157
15_024,3143
08_021,3136
21_156,3019
15_070,2998
30_028,2936
07_089,2914
25_018,2876
32_017,2792
30_131,2757
32_056,2745
17_006,2728
15_029,2695
11_015,2621
23_004,2602
18_020,2589
08_017,2550
06_002,2545
21_140,2518
30_044,2494
30_189,2470
02_005,2441
30_118,2402
06_007,2389
02_003,2367
15_108,2329
13_077,2327
11_003,2298
28_033,2262
15_120,2252
16_108,2237
15_051,2220
06_010,2218
29_033,2164
26_029,2125
07_078,2115
21_041,2108
32_010,2103
16_052,1974
14_070,1916
14_093,1880
21_019,1867
15_118,1824
17_018,1799
25_011,1752
12_035,1752
05_002,1745
05_027,1715
24_013,1698
26_042,1692
23_001,1626
19_009,1573
30_108,1564
17_029,1544
11_037,1537
15_002,1532
21_132,1531
26_048,1519
09_009,1502
15_076,1498
14_053,1496
13_076,1490
26_002,1441
27_007,1440
14_023,1425
13_069,1412
01_005,1382
12_038,1376
17_008,1352
08_002,1342
27_002,1313
15_035,1302
15_095,1286
19_049,1255
10_012,1250
07_019,1230
11_031,1224
08_032,1200
19_041,1173
29_005,1168
20_184,1166
14_083,1152
31_041,1148
15_110,1147
27_005,1136
16_069,1110
14_063,1106
23_009,1098
26_017,1096
28_021,1088
16_112,1080
15_018,1067
12_055,1062
29_018,1053
30_102,1052
11_014,1045
14_124,1025
24_020,1021
05_028,1014
21_015,1014
16_006,983
19_033,971
27_014,970
11_002,969
30_011,965
15_014,959
19_038,944
27_013,935
30_038,932
21_071,931
20_079,925
11_033,917
15_005,913
14_073,904
21_174,903
30_124,902
19_025,902
11_005,902
11_011,885
27_008,880
15_042,878
11_042,863
30_048,863
11_023,862
20_385,852
11_032,850
05_022,849
19_045,849
13_030,846
23_003,844
16_034,839
16_076,837
30_065,835
23_011,834
25_015,833
29_010,830
21_074,825
24_024,824
15_091,811
16_088,808
15_062,803
30_105,800
30_046,800
14_030,795
17_004,795
18_004,790
13_061,786
31_059,784
13_063,784
11_028,783
17_028,779
05_010,765
30_068,764
27_012,761
07_108,757
20_039,753
15_092,750
06_009,748
18_008,747
08_050,739
13_083,731
29_013,730
15_059,728
19_004,727
16_066,716
16_075,710
14_008,704
15_088,697
13_028,695
13_041,687
17_012,683
13_013,679
22_017,678
30_128,674
17_020,673
30_141,672
14_015,672
32_020,671
05_017,669
23_006,658
11_021,655
16_107,655
26_019,649
05_032,643
11_041,641
30_174,636
05_020,630
27_006,627
14_018,627
19_010,627
21_085,626
21_208,621
20_390,617
28_025,608
13_003,601
15_090,598
20_043,597
21_083,596
14_013,594
28_040,588
15_053,587
21_106,583
30_175,582
15_011,581
19_044,581
15_045,579
07_097,578
21_164,572
11_035,572
30_085,571
31_102,569
14_094,566
15_101,565
03_002,562
16_043,562
16_082,548
15_067,547
21_034,546
05_033,543
15_115,543
22_012,540
30_123,537
08_011,536
17_031,536
07_065,530
21_197,526
20_413,523
26_036,521
11_030,521
24_037,514
21_154,500
31_101,498
11_004,498
25_002,497
14_066,497
07_027,493
30_003,492
32_042,492
15_082,492
03_001,487
17_002,486
11_009,485
13_008,484
18_015,483
14_006,482
14_044,479
11_025,474
30_160,474
19_012,472
16_071,466
25_009,464
01_011,464
30_040,462
16_050,456
17_024,454
29_044,453
29_025,453
01_003,451
27_003,451
15_100,450
14_051,449
17_017,449
20_318,448
16_045,447
04_004,446
10_032,437
30_109,437
07_059,437
15_048,430
11_001,430
29_043,427
08_052,427
21_053,425
24_011,423
10_008,421
15_009,419
30_045,417
13_052,413
15_087,410
13_016,410
11_046,408
15_074,407
12_066,406
30_183,406
08_054,404
15_019,403
32_039,403
26_025,403
13_056,401
29_006,401
11_044,401
14_035,400
15_023,399
23_002,386
13_029,385
15_103,383
30_030,378
17_030,377
14_085,376
15_073,375
20_515,375
26_033,373
30_061,372
07_017,370
28_035,370
27_010,369
14_078,368
14_022,366
08_036,363
21_045,362
30_138,361
32_005,361
12_028,357
14_050,356
04_009,354
14_114,354
31_096,354
07_012,352
25_010,346
12_057,346
26_058,344
08_045,342
08_062,340
13_010,340
07_061,338
12_050,335
01_007,334
30_204,334
15_040,333
14_016,331
30_016,329
28_007,327
22_005,325
15_030,325
22_004,324
15_085,323
30_155,321
16_068,318
05_009,316
30_133,316
13_023,315
07_040,315
32_024,314
14_091,314
27_016,313
20_399,312
22_007,311
24_050,309
30_034,308
12_075,307
05_024,306
32_051,306
22_008,305
11_026,304
13_054,300
15_047,300
12_046,299
29_031,298
20_014,295
15_113,294
13_084,294
30_026,293
15_114,293
13_067,293
13_050,293
30_014,290
27_017,287
15_093,284
15_084,284
32_034,284
16_038,284
15_065,284
15_001,283
12_048,283
30_206,282
25_014,282
01_006,281
14_046,281
30_071,280
10_004,280
14_121,280
03_009,279
05_004,277
29_041,277
16_110,275
13_074,273
20_482,271
12_061,270
12_058,270
21_001,270
21_180,269
14_082,268
24_021,268
16_009,268
14_113,268
08_005,264
15_044,264
21_186,264
07_034,264
13_081,262
14_108,261
20_397,260
20_059,259
25_008,258
30_010,258
14_119,257
13_082,256
29_034,254
30_013,253
21_004,252
19_005,252
08_031,252
14_037,252
15_096,251
31_089,251
30_115,250
21_207,249
14_024,249
16_055,248
15_075,248
29_036,248
29_015,247
05_003,247
19_017,247
01_002,245
15_055,245
24_032,244
16_012,243
28_043,243
06_005,243
07_074,243
20_057,242
17_003,242
25_017,240
20_324,240
11_018,240
27_001,236
04_001,235
16_106,234
11_039,233
23_010,233
17_009,233
08_048,232
18_006,232
30_077,230
21_143,229
17_025,229
32_019,229
14_047,229
12_011,229
32_038,227
12_021,226
14_116,225
16_083,224
12_007,223
18_012,222
07_009,221
15_028,221
30_191,221
28_012,221
14_001,220
30_207,219
32_055,219
32_048,219
31_013,219
10_023,218
30_004,218
19_013,217
24_040,217
11_008,216
16_079,214
14_077,214
21_094,214
05_006,211
24_016,211
14_043,210
14_009,209
16_111,209
32_036,208
23_007,208
21_003,206
30_032,205
30_101,204
21_051,204
26_041,203
29_024,203
30_211,203
20_551,203
10_038,202
15_125,202
07_106,202
15_016,201
20_401,201
28_015,201
14_025,200
15_036,200
30_049,200
16_103,198
16_105,198
22_001,198
18_018,198
21_090,197
18_001,196
29_028,196
16_085,194
30_089,194
20_157,193
30_053,193
14_002,193
30_181,193
14_059,193
26_026,191
20_565,190
19_014,190
15_068,189
30_047,188
20_350,188
15_010,187
07_069,187
11_012,187
30_092,187
13_075,186
20_107,186
15_052,183
07_099,181
26_070,181
13_059,180
14_033,180
14_105,180
15_112,180
17_026,179
05_031,179
07_052,179
15_046,178
31_052,178
16_095,177
08_010,176
24_008,176
15_043,176
16_065,176
11_019,176
21_177,176
16_062,175
21_115,175
15_124,174
16_019,174
31_038,173
31_079,173
14_100,172
18_016,172
20_044,171
11_029,171
15_083,170
16_073,169
21_110,169
13_002,169
15_050,169
12_034,168
21_104,168
16_035,167
29_002,167
20_002,166
15_072,166
06_003,165
13_012,165
15_003,165
17_015,165
14_045,165
14_003,164
29_023,163
07_109,163
30_126,162
24_025,162
22_009,162
32_029,161
07_057,161
25_013,161
21_010,160
30_094,160
28_002,159
16_020,158
20_334,158
31_056,157
15_015,157
14_096,157
19_022,156
14_118,156
14_087,156
32_022,155
20_293,155
14_036,155
13_039,154
27_009,154
14_021,154
30_069,153
18_010,153
10_022,153
14_048,153
13_070,153
21_199,153
16_051,153
30_158,152
14_058,152
30_143,152
15_012,152
29_019,152
32_049,152
32_026,152
20_227,152
15_064,152
12_053,152
08_040,152
14_074,151
15_022,151
13_022,151
07_107,150
21_118,150
18_014,150
08_009,150
30_081,149
21_149,149
21_161,149
27_015,148
10_001,148
08_004,148
29_026,147
14_055,146
29_039,146
10_016,145
13_021,145
17_035,145
30_058,144
08_001,144
21_047,144
19_047,144
16_086,143
14_086,143
30_134,142
13_072,142
15_063,142
08_055,141
06_001,141
13_024,140
07_051,140
10_039,139
30_086,139
29_038,139
21_108,139
07_015,139
30_097,139
13_032,139
17_019,138
16_025,137
14_064,137
01_009,137
21_136,136
19_011,136
15_021,136
20_068,136
07_020,135
05_038,135
07_094,135
11_013,135
26_022,134
21_091,134
24_049,134
14_110,133
07_068,133
12_012,133
21_134,133
20_553,133
15_027,133
19_020,133
25_016,132
31_040,132
12_067,132
07_087,132
21_125,131
12_068,131
30_208,131
16_098,130
24_007,130
24_053,129
30_112,128
21_189,128
32_023,127
29_042,126
16_097,126
21_069,126
29_048,126
26_035,126
30_015,125
30_164,125
30_192,124
29_021,124
16_113,124
30_144,124
17_023,124
16_089,123
30_009,123
19_042,123
06_004,122
21_142,122
14_088,122
15_107,122
07_102,122
13_015,121
28_037,121
16_016,120
21_043,120
04_006,120
17_014,119
20_006,119
21_054,119
20_073,118
30_130,118
16_058,118
21_172,117
07_079,117
07_023,117
15_111,117
16_064,116
15_006,115
04_005,115
14_125,115
05_019,115
30_100,115
20_010,115
32_007,114
26_012,114
14_065,114
15_089,114
13_037,114
18_011,114
15_094,114
14_123,114
16_010,113
12_022,113
14_017,113
10_035,113
20_005,113
30_125,112
10_013,112
17_010,112
13_001,112
20_115,112
21_128,111
13_055,111
24_036,111
13_046,111
30_093,111
20_409,110
21_194,110
32_016,110
30_073,110
08_027,110
15_079,110
31_093,109
15_017,109
13_073,109
16_014,109
13_066,109
24_005,109
17_013,108
14_109,108
07_046,108
16_091,108
32_032,108
21_169,108
15_069,108
16_003,108
21_048,108
30_161,107
14_112,107
24_015,106
16_070,106
30_023,106
16_090,106
26_039,106
25_004,106
12_059,106
30_135,105
08_029,105
14_005,105
30_205,104
20_338,104
13_007,104
26_004,104
16_087,104
21_211,103
15_056,103
24_017,103
16_084,103
21_179,102
16_077,102
32_040,102
30_173,102
16_022,102
15_086,102
30_021,101
20_469,101
14_079,101
16_017,101
15_071,101
20_375,101
28_029,100
13_057,100
20_439,100
30_132,100
13_005,100
13_009,100
29_012,99
15_032,99
24_055,98
12_017,98
20_023,98
29_029,97
16_030,97
05_007,97
24_054,97
19_034,96
13_019,96
29_001,96
08_008,95
16_093,95
12_003,95
30_121,95
16_033,95
14_084,95
28_016,95
20_568,94
16_104,94
21_076,94
15_008,94
12_023,94
30_148,94
21_117,94
14_095,93
21_170,93
11_022,93
24_058,93
25_007,93
21_035,93
26_071,93
26_003,93
26_047,93
11_016,93
16_060,92
16_042,92
15_105,92
30_182,92
08_060,91
28_039,91
20_570,91
07_086,91
21_144,91
13_042,90
07_013,90
30_022,90
10_036,90
31_019,90
21_017,89
13_006,89
07_111,89
12_039,89
16_067,87
24_023,87
04_010,87
20_557,87
18_002,87
11_043,87
07_037,86
15_097,86
30_196,86
16_015,86
21_124,86
08_035,86
07_124,86
21_166,86
16_056,86
15_102,86
14_029,85
22_010,85
12_056,84
04_011,84
29_014,84
30_129,84
16_047,84
12_030,84
13_058,84
28_030,84
30_116,83
31_058,83
07_054,83
01_004,83
29_032,83
32_025,82
17_001,82
32_057,82
21_013,82
01_010,82
30_142,81
15_004,81
30_082,81
20_028,81
30_201,81
31_048,81
15_123,80
12_014,80
11_024,80
08_051,80
07_031,80
07_003,80
30_099,79
29_007,79
17_016,79
24_010,79
10_020,79
20_030,79
13_044,79
32_014,78
16_023,78
30_091,78
30_059,78
20_083,78
21_175,77
30_151,77
30_066,77
21_205,77
12_052,77
16_002,76
21_063,76
13_038,76
30_178,76
29_059,75
16_078,75
15_007,75
31_067,75
26_016,75
16_080,74
24_056,74
07_008,74
16_024,74
15_080,74
30_149,74
12_027,74
30_075,73
29_027,73
32_044,73
11_038,73
28_011,73
32_050,73
18_003,73
22_018,72
07_032,72
29_051,72
08_013,72
21_214,72
13_035,71
