municipio,num_dispositivos
02_004,76211
09_007,67927
19_039,63949
21_114,60516
09_005,57425
14_039,55902
15_033,53746
08_037,50806
11_020,48526
14_120,46776
15_058,41094
22_014,38917
09_015,34667
15_057,33719
02_002,33471
26_030,33245
09_010,32856
31_050,32346
09_014,31729
23_005,29835
15_106,29264
09_003,29121
28_032,28967
24_028,28496
08_019,28351
09_012,27928
15_104,26915
19_006,26849
05_030,26137
09_016,25803
19_026,25399
25_006,24802
01_001,24753
16_053,24104
15_013,22641
14_097,21978
14_098,21449
09_017,21381
05_035,20774
15_121,19946
28_022,18967
09_002,18711
19_046,18376
30_193,17985
15_109,17886
27_004,17883
14_101,17618
09_006,17385
15_031,17269
12_001,16184
17_007,16164
19_031,15754
19_021,15085
28_027,15021
09_013,14971
02_001,14905
15_081,14563
15_039,14475
10_005,14329
30_087,14110
07_101,13644
11_007,13514
13_048,13027
23_008,12508
09_011,12461
28_041,12052
19_048,11870
11_017,11841
19_018,11743
15_037,11259
19_019,11006
03_008,10877
09_004,10538
28_038,10463
09_008,10410
25_012,10339
15_122,10165
15_020,9990
15_054,9847
15_025,9298
26_018,9220
14_067,9200
18_017,9191
15_060,8839
24_035,8797
20_067,8184
15_070,7943
17_011,7869
10_007,7830
25_001,7768
03_003,7731
28_003,7657
04_002,7387
13_051,7325
05_018,7253
16_102,7239
22_011,7197
22_006,7129
15_024,7053
22_016,6938
30_039,6921
12_029,6894
28_009,6611
15_099,6593
21_156,6385
05_025,6264
23_004,6264
21_119,6169
26_043,6105
32_010,5971
30_044,5928
04_003,5857
07_089,5489
17_006,5466
30_028,5429
32_056,5292
26_055,5229
15_029,5191
11_027,5124
13_077,4659
15_108,4629
08_017,4592
30_131,4585
32_017,4523
15_051,4452
14_070,4409
18_020,4361
19_041,4329
21_140,4247
14_093,4211
15_120,4191
11_037,4188
06_007,4136
30_118,4076
28_033,4050
08_021,4044
26_029,4033
11_015,3942
26_048,3912
16_052,3906
21_041,3873
05_027,3864
30_189,3863
15_118,3841
06_002,3817
25_011,3815
16_108,3730
11_003,3620
02_005,3590
15_002,3509
17_018,3506
02_003,3408
09_009,3370
21_019,3369
06_010,3364
26_042,3361
14_053,3354
26_017,3354
19_025,3318
29_033,3247
07_078,3224
30_108,3174
27_002,3131
13_069,3059
25_018,3057
31_041,2987
21_132,2953
12_035,2930
23_001,2840
17_008,2825
15_076,2804
27_005,2788
08_032,2781
19_009,2753
24_013,2744
14_023,2700
13_076,2679
11_042,2672
10_012,2664
17_029,2580
14_083,2574
01_005,2566
27_008,2536
11_031,2518
29_005,2500
27_013,2494
20_184,2435
15_042,2432
15_035,2431
14_063,2399
24_020,2376
19_045,2356
30_124,2352
11_014,2319
19_010,2310
21_015,2283
11_005,2275
19_033,2242
07_019,2241
30_048,2148
16_112,2142
24_024,2120
16_006,2111
15_005,2094
12_038,2091
16_088,2085
15_095,2081
11_032,1996
30_102,1984
26_002,1980
20_385,1976
14_124,1970
05_010,1960
15_014,1953
13_030,1945
16_069,1923
27_012,1922
31_059,1920
14_073,1917
21_174,1886
30_105,1882
28_021,1867
14_018,1865
08_050,1849
19_038,1848
29_010,1845
14_044,1791
05_017,1782
08_054,1779
14_013,1776
11_033,1775
11_023,1769
23_009,1768
30_065,1767
30_174,1762
05_028,1753
31_102,1745
06_009,1732
27_014,1731
29_013,1728
05_002,1713
11_011,1708
15_018,1697
19_049,1695
05_033,1692
21_074,1679
17_028,1663
14_008,1656
15_110,1620
27_006,1617
19_012,1603
16_075,1597
30_038,1597
12_055,1586
15_091,1582
15_092,1564
23_002,1563
30_068,1563
16_066,1553
15_053,1551
11_002,1547
13_063,1547
14_015,1521
21_071,1515
30_141,1512
25_015,1503
07_065,1482
15_062,1478
15_090,1444
15_011,1441
31_101,1430
16_076,1428
23_011,1427
07_059,1413
22_012,1412
16_082,1411
30_011,1408
14_085,1407
05_020,1406
22_017,1403
29_018,1403
16_034,1387
13_013,1376
08_002,1375
17_004,1372
32_020,1367
13_028,1363
05_032,1363
11_041,1363
15_101,1362
20_079,1338
15_067,1326
11_028,1324
15_059,1309
13_083,1296
20_039,1289
15_045,1285
15_088,1277
11_021,1271
20_390,1267
21_154,1266
14_030,1263
30_085,1261
13_003,1259
07_027,1258
15_115,1256
11_044,1251
13_061,1248
11_004,1234
15_087,1232
01_003,1230
18_008,1226
15_082,1221
11_030,1221
27_010,1209
16_107,1208
18_004,1208
13_008,1206
30_175,1186
27_007,1183
03_002,1181
16_071,1179
29_025,1178
07_097,1178
20_043,1175
30_123,1175
23_003,1168
01_011,1165
27_003,1163
21_164,1160
22_005,1158
15_048,1152
11_025,1150
17_012,1139
10_032,1123
11_035,1123
14_094,1120
28_040,1119
16_050,1113
15_009,1112
12_028,1105
11_001,1100
19_004,1095
11_009,1093
05_022,1088
03_001,1082
04_004,1081
26_025,1079
21_208,1076
08_011,1076
30_128,1074
17_020,1057
07_034,1052
01_002,1046
16_043,1037
07_108,1036
13_041,1021
21_085,1011
19_044,1011
07_061,1008
14_035,1007
18_015,999
12_066,997
30_133,997
30_109,994
15_074,983
17_003,975
29_043,969
21_034,966
11_046,965
30_138,962
31_096,961
14_091,959
30_160,958
21_197,952
20_413,941
15_085,940
30_003,933
32_042,931
15_100,922
11_026,917
05_009,916
26_019,914
14_082,913
14_006,908
13_016,906
30_183,906
04_001,906
22_004,905
21_053,892
20_318,892
21_106,889
24_037,886
27_017,883
13_056,880
14_050,878
14_066,876
29_044,872
01_007,864
13_052,861
13_029,858
15_019,847
07_057,847
01_006,842
14_046,841
25_010,836
07_052,835
23_010,833
14_108,829
08_036,825
30_030,825
28_025,820
32_039,817
13_084,816
14_051,812
27_016,808
11_029,802
14_016,801
30_045,791
20_399,789
30_061,789
24_011,787
17_031,785
23_006,783
31_089,782
22_008,782
07_017,779
17_030,779
30_181,769
32_026,768
26_036,764
30_046,763
04_009,760
17_024,758
30_040,757
23_007,750
21_001,749
08_045,744
30_014,743
15_023,742
20_401,740
20_059,736
15_073,729
07_012,726
24_021,725
12_075,724
13_023,724
16_012,722
10_008,719
10_038,713
15_040,706
14_009,703
14_078,703
21_083,703
14_022,702
17_017,699
16_009,699
14_119,696
32_005,694
20_515,694
29_006,693
08_052,688
08_005,686
20_551,686
26_033,683
25_009,681
28_035,680
16_055,675
14_121,674
16_038,672
20_482,672
16_079,670
32_024,670
30_083,666
21_010,665
12_057,663
16_010,663
30_204,663
25_002,660
30_191,654
11_043,654
27_001,652
13_054,651
29_031,646
27_009,645
30_016,644
15_047,643
13_067,643
07_074,640
13_081,640
15_103,640
30_026,639
32_055,639
11_040,639
16_068,638
14_116,636
21_180,634
22_007,628
05_004,626
32_034,626
14_105,622
24_050,622
32_038,620
13_010,619
05_036,617
16_045,615
15_065,615
07_009,615
25_017,613
21_186,612
14_047,608
07_099,604
30_015,603
12_011,601
14_118,598
15_084,597
30_004,595
28_030,594
30_071,583
29_024,583
21_004,581
14_033,581
15_113,580
14_113,580
31_038,579
29_036,578
16_035,578
12_058,575
15_114,575
15_075,574
15_124,572
30_009,571
20_324,570
31_056,567
30_206,565
16_083,564
21_207,563
14_002,560
21_047,560
16_106,559
15_096,558
16_110,556
31_079,553
13_075,552
29_041,551
20_014,551
30_115,550
13_082,550
30_010,549
30_126,548
30_207,547
12_050,547
30_155,543
11_008,542
07_020,541
10_039,541
17_002,538
05_006,531
10_023,528
21_045,527
29_023,525
29_015,523
07_051,523
30_058,523
27_015,522
16_015,521
11_039,520
08_004,520
11_019,519
28_012,514
29_038,513
21_003,511
31_052,510
15_001,507
05_024,506
18_012,505
13_050,503
20_397,501
26_058,500
11_016,500
32_036,499
14_077,497
30_089,497
22_001,495
12_021,494
12_048,494
24_040,494
29_028,492
14_043,490
20_044,489
14_055,487
32_051,485
30_049,485
14_096,482
26_041,481
29_019,480
07_040,479
20_057,477
25_014,477
13_074,475
30_101,475
14_024,473
12_046,473
21_094,473
15_030,473
20_002,472
19_005,469
15_044,468
15_093,467
04_005,465
05_003,463
30_021,462
06_001,461
08_062,461
14_037,461
15_036,461
30_125,460
13_001,460
30_077,459
12_061,458
11_012,458
20_565,456
18_018,454
14_114,454
16_073,451
20_107,451
07_069,450
10_022,450
07_068,448
07_030,448
24_032,447
25_013,446
24_016,446
21_177,443
16_020,442
30_032,441
17_025,439
14_064,438
08_031,435
31_013,433
16_098,433
29_034,431
07_106,430
25_008,429
28_007,427
08_048,426
10_004,426
29_026,425
29_002,425
21_115,424
13_012,422
21_110,422
15_086,422
13_059,418
16_087,418
16_085,417
11_013,416
31_066,414
22_009,414
30_034,413
15_043,412
16_111,412
16_097,412
