cve_mun_full,num_dispositivos
02004,83761
09007,78467
21114,72793
14039,68740
15033,61606
11020,60448
08037,57979
19039,57930
14120,53699
09005,53054
15058,47601
22014,46011
31050,38109
15057,37745
02002,37054
09010,36992
09015,34971
23005,34882
28032,33653
24028,33437
08019,33225
15106,32813
05030,31871
09012,31011
09003,30524
19026,30238
19006,30063
26030,29370
01001,29332
15104,29186
16053,28741
14097,28252
14098,26756
09016,26423
09014,26319
25006,25410
05035,24828
15013,24221
09017,22766
14101,22409
27004,22269
30193,22192
28022,21828
15031,21649
15121,21466
19046,20792
09002,20098
15109,19663
09006,19362
12001,19340
19021,18768
19031,17809
17007,17786
15039,17391
28027,17320
02001,17280
15081,16979
30087,16749
09013,16604
11007,16118
10005,15282
13048,15201
19018,15006
23008,14515
09011,14285
11017,14218
07101,14179
19048,13829
28041,13506
28038,12646
15122,12640
03008,12252
15025,11623
15037,11609
09004,11556
15020,11069
25012,11013
19019,10993
24035,10763
14067,10700
09008,10565
15054,10451
26018,10234
18017,9423
04002,9305
15060,9229
15070,9228
10007,9216
25001,9157
13051,9142
20067,8927
28003,8904
17011,8843
05018,8443
22011,8297
22006,8260
28009,8131
30039,8010
32010,7981
03003,7862
12029,7702
23004,7687
22016,7683
21156,7596
16102,7548
05025,7445
15099,7267
15024,7190
30044,7136
21119,6733
07089,6611
26043,6574
17006,6503
30028,6448
04003,6305
15029,6125
11037,5910
11027,5877
26055,5829
13077,5766
14093,5630
32056,5481
19041,5459
14070,5419
15051,5359
08017,5341
15108,5269
30131,5158
32017,5144
05027,5027
28033,4982
18020,4883
06007,4844
16052,4839
25011,4807
15120,4750
30118,4733
11015,4687
21041,4599
21140,4592
26029,4547
19025,4533
26048,4500
30189,4464
11003,4387
26017,4328
15118,4322
14053,4306
27002,4301
15002,4278
06002,4198
16108,4159
26042,4086
30108,4033
17018,4013
13069,3922
02003,3909
31041,3900
29033,3880
06010,3798
08021,3745
21019,3723
17008,3637
11031,3623
09009,3619
21132,3612
07078,3567
11042,3555
27008,3538
02005,3507
10012,3503
08032,3465
12035,3346
27013,3320
19009,3233
15076,3221
20184,3218
14023,3195
15042,3171
23001,3143
29005,3137
19010,3121
27005,3091
11014,3078
14083,3070
05010,3056
24013,3041
13076,3023
11005,2974
01005,2970
17029,2889
24024,2879
30048,2853
19033,2844
14063,2841
24020,2834
19045,2775
30124,2766
20385,2682
21015,2681
15035,2648
14044,2589
11032,2516
15005,2493
07019,2470
27012,2468
16088,2453
07059,2415
15110,2409
14018,2405
30102,2387
29010,2382
16006,2377
08050,2348
31059,2343
31102,2315
30174,2304
13030,2301
16075,2299
21074,2294
12038,2281
15014,2263
15018,2262
16112,2254
30105,2254
15095,2244
14124,2243
05017,2241
19012,2233
06009,2226
19038,2207
14073,2196
11033,2191
23009,2191
26002,2158
16069,2121
17028,2120
05028,2101
28021,2090
29013,2084
21174,2076
27006,2066
14008,2038
23002,2031
27014,2015
11011,2012
14013,1980
30065,1969
15092,1958
11023,1954
30068,1912
31101,1909
21071,1895
25018,1893
05033,1888
15053,1881
13063,1857
16082,1854
16066,1842
14085,1819
22005,1818
19049,1801
13028,1796
32020,1795
12055,1786
15011,1782
07065,1782
30038,1778
14015,1769
15087,1768
13003,1762
05020,1745
15101,1744
15062,1728
11002,1727
05002,1706
23011,1696
07097,1687
11028,1686
13013,1677
07061,1674
15045,1671
16076,1669
15091,1663
30011,1645
30141,1644
10032,1640
15090,1636
14094,1634
15067,1632
05032,1629
13083,1628
01003,1624
01002,1623
11041,1607
16034,1594
22017,1574
30083,1552
17004,1551
20039,1545
15088,1541
16107,1538
11025,1536
21154,1530
27010,1528
15048,1514
25015,1509
20079,1505
11004,1502
14030,1483
07034,1481
16071,1479
07027,1474
