cve_mun,grado_entrante,grado_saliente,fuerza_entrante,fuerza_saliente
28,176,177,17817,17809
105,100,110,7491,7434
39,187,176,40191,40723
120,133,146,12969,13222
7,169,169,34168,33890
6,174,170,33787,33352
98,127,127,12884,12775
3,163,161,21369,21493
12,147,149,20777,20565
11,146,153,17396,17358
5,173,176,33371,33389
104,129,125,14317,14526
14,156,153,25297,25832
10,163,156,26211,26511
15,171,163,20718,20969
16,155,144,19925,20228
35,155,156,10608,10379
19,162,155,9592,9826
119,115,107,5407,5429
114,203,207,12730,12891
17,145,143,19778,19862
101,150,145,10077,9924
26,125,132,12632,12410
8,131,130,11399,11451
13,150,152,21168,21016
106,132,124,10392,10535
54,121,124,5810,5806
46,126,134,11211,11218
57,129,130,11303,11362
4,167,163,20020,19688
48,149,152,11648,11653
51,139,133,8387,8196
58,146,152,14898,14725
31,148,149,11977,12066
97,127,130,8508,8414
21,125,128,9684,9621
2,150,150,18494,18481
38,145,144,6327,6219
9,139,139,8422,8497
33,154,151,19402,19113
81,116,121,5514,5545
50,145,147,7449,7611
1,183,177,11314,10978
193,154,160,3937,3893
37,130,133,8826,8702
18,148,145,11933,11606
121,123,127,7715,7754
109,122,117,6851,6894
20,140,142,13272,13067
25,131,138,7740,7761
70,126,120,6603,6555
122,98,83,3583,3528
41,180,181,10323,10158
140,86,88,2634,2623
49,111,111,2388,2306
56,96,104,2525,2643
24,125,119,5152,5160
118,132,133,3592,3666
44,149,157,5273,5313
68,138,139,2426,2395
83,147,135,3691,3754
29,137,139,6456,6321
60,105,108,2513,2502
76,127,122,3639,3583
30,134,134,7758,7826
32,129,128,5503,5486
53,136,146,5188,5140
88,102,99,1464,1449
62,98,91,2027,2015
27,121,117,3913,3974
108,138,133,4962,4998
34,142,131,2561,2635
87,153,155,3674,3592
65,117,121,2146,2142
43,157,164,2762,2752
67,203,199,4479,4672
390,55,51,1076,1076
95,90,92,1720,1661
77,134,128,2530,2484
22,114,115,3255,3146
156,117,138,1301,1353
82,110,111,1464,1558
385,103,114,771,792
69,117,119,1935,2136
85,135,125,1795,1781
103,71,72,818,824
63,120,115,2030,2174
36,107,113,1921,1896
42,128,140,3133,3121
45,145,135,3405,3457
75,116,124,1992,1962
55,111,110,2628,2686
99,112,115,2760,2785
79,105,113,1314,1406
100,90,87,1177,1168
73,104,114,1711,1681
110,97,95,1364,1224
91,106,112,1612,1614
52,118,123,1567,1611
66,112,109,1354,1386
157,43,48,443,455
138,50,39,589,549
115,107,120,1763,1747
40,121,119,2261,2422
61,108,107,1175,1222
132,94,96,1100,1149
143,72,59,471,462
64,81,74,838,731
131,85,84,760,778
175,54,56,467,452
71,117,122,1438,1472
23,154,155,2994,2991
124,112,112,1614,1528
92,79,75,1011,1035
78,88,97,990,926
134,63,58,565,556
149,37,39,354,368
133,44,46,411,417
117,48,51,529,507
293,29,36,343,345
74,119,120,1889,1899
84,84,80,922,965
350,20,24,331,334
123,63,61,682,674
107,87,90,919,928
189,96,92,699,692
399,62,60,488,469
102,130,135,1904,1995
197,40,42,384,428
59,127,134,1984,1991
96,85,80,777,732
116,56,53,455,442
515,32,39,269,271
90,101,99,1145,1128
93,112,109,1445,1455
72,97,89,815,841
375,19,12,203,194
136,43,48,388,402
47,98,107,1291,1310
183,49,45,320,322
94,98,98,781,784
161,67,63,280,307
182,27,26,172,171
206,27,27,183,180
192,29,29,242,200
89,113,113,1157,1185
148,32,37,446,461
227,35,33,292,283
174,99,97,740,752
125,66,62,749,700
