origen,destino,peso
039,098,2601
098,039,2596
006,007,2588
039,120,2568
120,039,2561
028,105,2549
105,028,2540
007,006,2521
005,104,2387
104,005,2382
007,011,2358
011,007,2324
035,028,2238
028,035,2201
017,005,2183
005,017,2099
014,006,1873
015,017,1864
017,015,1846
006,014,1782
012,003,1704
006,017,1698
017,006,1654
050,013,1633
013,050,1629
039,101,1627
101,039,1618
003,012,1615
015,005,1546
005,015,1506
014,010,1453
015,016,1439
010,014,1439
007,058,1431
058,007,1427
016,015,1425
015,014,1363
006,005,1338
014,015,1330
005,006,1325
081,033,1307
033,081,1284
011,014,1257
026,031,1248
010,008,1229
014,011,1226
005,033,1212
031,026,1206
104,013,1204
013,104,1195
005,002,1190
008,010,1184
058,005,1183
058,033,1167
005,058,1159
003,007,1147
010,016,1144
033,005,1137
012,013,1134
002,005,1133
016,010,1106
033,058,1097
013,012,1093
007,003,1078
119,114,1064
106,054,1059
054,106,1057
114,119,1053
014,003,1048
051,048,1031
016,057,1031
048,051,1030
058,031,1026
031,058,1019
003,014,1006
039,046,998
057,016,985
046,006,983
004,010,983
006,046,974
046,039,962
010,004,947
039,097,935
018,010,929
026,039,929
039,026,926
097,039,921
097,098,918
098,101,914
039,025,881
109,020,879
101,098,879
098,097,875
025,039,866
026,006,863
020,109,862
006,026,849
005,004,842
009,038,841
004,005,819
038,009,812
030,027,804
010,018,792
120,098,789
014,007,788
098,120,781
007,014,761
002,010,753
027,030,743
010,002,735
041,050,735
007,035,733
050,041,732
104,002,731
028,193,722
017,007,722
046,021,720
007,070,719
193,028,716
004,008,715
033,104,715
015,002,711
021,046,710
104,033,708
035,007,702
007,017,700
001,005,697
005,001,697
002,104,695
008,012,694
002,015,691
070,007,690
007,012,688
002,004,677
012,008,674
005,007,674
121,109,670
003,010,664
008,004,657
010,003,654
109,121,646
104,057,636
057,104,635
021,039,634
122,039,633
007,005,631
114,041,631
006,021,630
012,007,627
121,013,623
017,058,622
002,016,621
021,006,618
016,014,612
004,002,612
046,026,612
039,021,611
002,033,608
041,114,607
039,122,607
058,017,605
006,058,604
033,002,600
013,121,599
019,039,591
026,046,580
039,019,580
020,039,578
001,004,577
020,031,569
114,015,568
039,020,568
003,038,566
016,002,565
017,056,564
058,006,560
004,001,560
031,020,559
015,114,553
015,006,551
038,003,548
056,017,547
039,018,547
053,088,545
013,007,537
003,004,534
014,016,531
088,053,528
121,024,521
024,121,521
007,013,520
041,006,515
083,048,511
020,033,508
006,015,507
033,020,506
048,083,506
031,029,503
018,039,502
004,013,499
057,037,496
004,037,493
012,010,487
039,006,486
037,004,485
013,004,485
006,039,484
006,041,483
060,013,480
037,057,480
004,003,477
006,002,475
029,031,472
013,057,472
007,033,470
010,012,469
014,005,468
033,007,467
048,039,461
005,014,460
048,019,460
039,048,458
013,060,457
002,006,455
097,120,455
019,048,454
030,006,454
120,097,448
001,011,439
057,013,437
011,001,437
097,101,436
057,002,433
011,013,433
006,030,432
015,007,430
020,037,430
037,020,429
013,011,429
007,009,427
005,050,426
020,120,424
121,104,422
032,033,422
002,057,422
007,015,421
065,087,415
104,121,412
101,097,411
122,025,409
018,006,409
118,106,406
033,032,402
070,058,402
120,020,397
007,020,395
039,070,394
006,018,393
106,118,393
009,007,392
013,005,390
020,007,388
039,007,388
050,005,388
058,070,386
070,039,385
020,108,384
004,019,383
025,122,382
087,065,379
033,017,378
006,004,375
070,031,375
012,011,375
011,012,374
019,004,372
028,032,372
004,006,370
031,070,369
033,010,366
114,025,365
010,033,365
070,098,363
017,033,362
013,003,362
016,030,362
108,020,361
017,035,360
005,003,355
025,114,354
005,013,354
005,011,348
002,008,346
098,070,346
007,039,345
114,140,345
017,004,343
043,005,341
005,043,339
035,017,339
051,106,339
031,039,338
012,014,335
003,002,335
011,005,334
002,003,332
030,016,331
003,005,327
006,011,327
014,017,327
024,011,326
041,030,326
106,051,326
008,002,326
003,009,323
140,114,321
012,016,320
032,028,318
018,007,318
003,013,318
041,034,317
014,012,317
051,039,316
104,109,316
016,012,315
005,016,314
039,031,314
017,014,313
005,010,313
010,013,311
011,024,310
027,025,309
109,104,308
035,012,307
013,010,307
007,018,305
005,008,302
012,017,301
050,101,301
015,010,300
017,012,300
034,041,298
016,017,298
010,005,297
009,003,296
030,041,295
011,006,293
033,109,293
025,027,292
008,005,292
012,035,291
001,028,291
108,048,291
101,050,290
140,119,288
033,031,287
109,033,286
012,005,285
108,109,282
031,033,282
004,017,281
016,005,279
010,015,279
119,140,279
008,017,279
048,108,279
039,051,278
114,156,278
007,122,278
095,121,277
025,022,277
048,018,275
106,067,272
018,048,270
121,095,269
001,002,269
067,106,269
017,008,268
156,114,268
122,007,267
017,016,266
008,007,264
042,018,264
037,032,264
018,042,263
109,108,263
067,385,261
022,025,260
006,025,258
021,041,257
007,010,255
025,006,254
031,025,254
025,031,254
005,009,254
021,010,254
002,001,253
101,027,253
032,037,248
385,067,248
039,106,248
011,002,248
005,012,247
010,007,247
028,001,246
041,021,246
008,011,245
010,021,245
027,101,244
009,005,244
011,008,244
101,120,244
114,033,243
003,041,243
004,016,242
016,004,241
012,004,241
031,006,241
015,033,240
033,114,239
106,039,239
119,002,239
018,021,238
056,077,235
006,031,235
033,015,234
030,003,234
003,030,234
018,030,233
121,005,232
011,122,231
037,033,231
004,012,230
024,108,229
016,007,229
120,101,229
076,051,229
033,037,228
055,054,228
021,018,227
018,019,227
002,119,227
068,044,226
106,076,226
041,003,224
010,039,224
077,056,223
015,104,222
051,076,222
006,012,221
018,008,220
007,008,220
106,005,219
104,015,218
044,068,217
007,031,217
002,011,216
122,011,216
013,002,216
002,013,216
005,031,215
070,097,215
055,002,214
108,024,214
007,016,213
054,055,212
097,070,212
005,121,211
033,013,211
033,006,210
105,193,210
193,105,210
025,029,210
012,101,210
018,106,209
067,390,209
031,007,208
033,012,208
390,067,208
029,025,207
011,020,206
020,101,206
005,106,205
031,005,205
101,012,205
033,003,205
100,002,204
012,006,204
006,033,203
030,018,203
076,106,203
008,018,200
020,015,200
106,087,200
003,033,200
031,021,200
011,029,199
001,035,199
007,002,199
020,011,199
012,033,198
020,067,198
035,001,197
002,055,197
002,007,197
106,018,196
009,004,196
018,028,195
013,009,195
004,009,194
003,001,194
007,025,194
020,098,193
013,033,193
007,004,192
012,025,192
020,006,192
037,010,191
042,048,191
109,024,190
029,011,189
001,003,189
009,013,189
001,010,188
028,018,188
101,020,188
012,031,187
020,058,187
006,020,186
010,001,186
024,109,186
067,020,185
114,007,185
025,007,185
011,018,184
087,106,183
048,042,183
006,010,182
006,008,182
062,051,182
051,062,182
015,058,181
010,006,181
015,020,181
087,026,180
058,015,180
026,087,180
049,040,179
058,020,178
031,012,178
007,114,178
043,108,178
010,048,178
010,037,177
016,013,176
061,072,176
002,100,176
004,007,176
019,018,175
029,099,175
099,029,175
025,012,174
018,011,174
004,030,174
108,043,174
006,029,173
039,010,173
098,020,173
072,061,173
021,031,172
013,058,172
017,010,172
003,058,171
015,011,170
010,017,170
054,076,170
051,032,170
021,028,169
042,033,169
011,015,169
048,010,168
008,006,167
013,109,166
023,036,166
017,039,166
009,011,165
076,015,165
099,031,165
033,042,165
009,008,165
058,114,164
015,076,164
109,013,162
013,016,162
058,003,161
024,091,161
140,041,161
057,015,160
008,009,160
029,006,159
032,051,159
018,012,159
011,009,159
007,029,158
114,005,158
013,008,158
029,007,158
061,017,157
009,012,156
076,054,156
007,104,156
053,024,156
070,029,156
058,013,156
025,011,155
014,057,155
051,115,154
114,058,154
055,056,154
017,003,153
020,097,153
005,114,153
003,015,153
011,099,153
028,021,152
036,033,152
087,038,152
041,140,151
015,003,151
039,017,151
033,011,150
091,024,150
115,051,150
030,004,150
015,057,150
031,099,150
121,060,150
036,023,150
033,036,150
053,020,150
110,099,150
049,039,149
015,013,149
081,058,149
097,020,149
058,081,149
016,106,149
017,009,149
007,001,149
020,026,149
011,025,148
017,037,148
041,016,148
059,050,148
054,003,148
099,110,148
017,020,148
009,017,147
008,016,147
104,007,147
020,053,147
003,006,147
012,018,147
020,008,147
121,113,146
008,013,146
017,061,146
028,007,145
057,014,145
002,014,145
002,092,144
017,013,144
026,020,144
050,017,144
060,121,144
005,057,143
068,075,143
050,059,143
013,017,143
029,070,142
113,121,142
019,083,142
004,014,142
099,011,141
024,053,141
020,005,141
047,017,141
100,011,141
036,024,141
044,097,140
009,002,140
037,017,140
038,087,140
017,002,140
014,002,140
008,020,139
005,118,139
016,008,139
004,015,139
026,007,139
002,017,138
109,010,138
039,053,138
040,049,137
041,046,137
070,122,137
039,049,137
011,100,137
020,017,137
101,070,137
014,044,136
053,039,136
007,028,136
001,006,136
092,002,136
181,075,135
070,101,135
075,092,135
017,047,135
053,108,135
008,003,135
003,054,135
010,109,135
046,041,135
048,033,135
033,030,134
017,050,134
118,138,134
052,048,134
033,016,134
006,101,134
003,008,134
118,044,133
024,036,133
085,118,133
016,033,133
077,086,133
097,044,133
008,001,133
034,018,132
108,053,132
044,118,132
044,014,132
045,021,131
044,033,131
118,085,131
037,015,131
011,033,131
390,350,131
030,033,131
122,070,131
121,033,130
010,031,129
003,017,129
092,075,129
034,035,129
044,007,129
001,030,129
035,033,128
007,044,128
015,037,127
012,009,127
006,001,127
175,131,126
020,012,126
118,005,126
074,114,126
017,031,125
048,052,125
006,013,125
017,065,125
041,026,125
037,005,125
109,114,125
025,103,125
106,016,125
014,020,124
026,041,124
350,390,124
114,193,124
101,006,124
020,014,123
004,033,123
138,118,123
005,020,123
010,038,123
065,017,123
014,029,122
083,019,122
014,004,122
053,142,122
058,012,122
016,041,122
057,005,122
193,114,122
030,013,121
008,014,121
033,121,121
013,015,121
099,033,120
033,044,120
039,005,120
018,034,120
002,009,120
017,011,120
006,003,120
002,030,119
021,045,119
103,025,119
011,030,119
048,082,119
029,014,119
029,058,119
068,085,119
156,149,119
020,018,118
131,175,118
013,006,118
013,030,118
018,013,118
098,106,118
038,010,118
081,031,118
001,008,118
057,010,118
031,010,117
142,053,117
120,106,117
031,081,117
027,032,117
039,028,117
067,157,116
001,039,116
005,037,116
021,001,116
030,011,116
026,021,116
018,020,116
039,001,116
028,039,116
004,062,116
001,007,115
082,097,115
017,036,115
012,058,115
005,039,115
016,001,115
081,120,115
028,014,115
029,033,114
157,067,114
004,018,114
012,002,114
062,004,114
032,014,114
039,058,113
082,048,113
106,098,113
114,074,113
033,035,113
039,002,113
075,068,113
030,001,113
081,069,113
033,004,113
050,006,112
114,109,112
002,018,112
009,031,112
075,181,112
109,015,112
058,029,112
020,004,111
045,006,111
021,026,111
021,019,111
081,003,111
085,068,111
019,132,111
081,005,111
033,029,111
120,054,111
020,114,111
149,156,110
003,081,110
015,039,110
021,012,110
012,021,110
028,030,110
132,019,110
012,020,110
033,014,109
048,006,109
069,081,109
020,030,109
030,028,109
020,010,108
010,057,108
002,019,108
001,018,108
005,032,108
003,019,108
031,017,108
030,002,108
004,050,107
015,004,107
027,017,107
114,020,107
006,016,107
004,020,107
017,001,107
031,041,107
037,016,107
066,063,107
002,039,107
006,048,106
101,061,106
016,037,106
013,014,106
033,099,106
032,027,106
034,003,106
029,035,106
014,028,106
035,029,106
012,057,105
013,035,105
019,017,105
106,120,105
003,039,105
031,048,104
044,030,104
007,081,104
014,033,104
106,115,104
097,082,104
014,001,104
054,120,103
069,023,103
033,070,103
005,026,103
048,031,103
153,164,103
001,017,103
001,016,103
114,013,103
015,109,103
012,050,102
019,002,102
031,009,102
046,017,102
085,121,102
016,006,102
018,001,102
030,063,102
028,011,102
002,058,102
006,045,102
014,013,101
032,005,101
045,076,101
120,059,101
029,005,101
006,096,101
005,029,101
010,020,101
023,069,101
035,034,101
099,058,101
120,081,101
013,018,100
016,061,100
076,045,100
018,027,100
019,021,100
114,010,100
001,021,100
053,001,99
074,048,99
039,003,99
115,106,99
026,005,99
002,050,99
017,114,99
011,028,99
033,024,99
079,515,99
035,013,99
058,002,98
189,124,98
005,081,98
023,095,98
076,063,97
085,023,97
063,030,97
014,008,97
028,020,97
018,002,97
061,101,97
021,030,97
087,039,97
138,074,97
074,138,97
044,039,97
095,023,96
029,012,96
003,031,96
063,066,96
075,069,96
022,051,96
164,153,96
121,085,96
097,009,96
002,121,96
